ticker,holder_name,portfolio_name,source,amount_held,pct_outstanding,latest_change,filing_date,institution_type,country,metro_area,etf_label,ticker_raw
CLOB US Equity,Independence Asset A,Independence Asset A,13F,895536.0,27.14,13508.0,2025-12-31,Hedge Fund Manager,United States,Philadelphia,CLOB (Pgim BB-B CLO),CLOB
CLOB US Equity,Darwin Wealth Manage,Darwin Wealth Manage,13F,159453.0,4.83,3119.0,2025-12-31,Investment Advisor,United States,Tampa,CLOB (Pgim BB-B CLO),CLOB
CLOB US Equity,Axxcess Wealth Manag,Axxcess Wealth Manag,13F,157803.0,4.78,157803.0,2025-12-31,Investment Advisor,United States,San Diego,CLOB (Pgim BB-B CLO),CLOB
CLOB US Equity,L&S Advisors Inc,L&S Advisors Inc,13F,140445.0,4.26,107073.0,2025-12-31,Investment Advisor,United States,Los Angeles/Pasadena,CLOB (Pgim BB-B CLO),CLOB
CLOB US Equity,Employees Retirement,Employees Retirement,13F,39200.0,1.19,39200.0,2025-12-31,401k,United States,Dallas/Ft. Worth,CLOB (Pgim BB-B CLO),CLOB
CLOB US Equity,Castleview Partners,Castleview Partners,13F,29831.0,0.9,-11533.0,2025-12-31,Investment Advisor,United States,Dallas/Ft. Worth,CLOB (Pgim BB-B CLO),CLOB
CLOB US Equity,Bison Wealth LLC,BISON WEALTH LLC,13F,23199.0,0.7,23199.0,2025-09-30,Investment Advisor,United States,Atlanta,CLOB (Pgim BB-B CLO),CLOB
CLOB US Equity,Jane Street Group LL,Jane Street Group LL,13F,22571.0,0.68,-72847.0,2025-12-31,Brokerage,United States,New York City/Southern CT/Northern NJ,CLOB (Pgim BB-B CLO),CLOB
CLOB US Equity,Syon Capital LLC,Syon Capital LLC,13F,16410.0,0.5,16410.0,2025-12-31,Investment Advisor,United States,San Francisco/San Jose,CLOB (Pgim BB-B CLO),CLOB
CLOB US Equity,Diversified Portfoli,Diversified Portfoli,13F,16326.0,0.49,16326.0,2025-12-31,Investment Advisor,United States,Detroit,CLOB (Pgim BB-B CLO),CLOB
CLOB US Equity,Royal Bank of Canada,,ULT-AGG,12004.0,0.36,-6433.0,2025-12-31,Bank,Canada,Toronto,CLOB (Pgim BB-B CLO),CLOB
CLOB US Equity,Summit Financial LLC,Summit Financial LLC,13F,9475.0,0.29,1622.0,2025-12-31,Investment Advisor,United States,New York City/Southern CT/Northern NJ,CLOB (Pgim BB-B CLO),CLOB
